elapsed_seconds,distance_m,speed_mps
554.0,4081.22,2.516
555.0,4089.6,2.516
556.0,4098.12,2.516
557.0,4106.71,2.516
558.0,4114.73,2.516
559.0,4123.15,2.515
560.0,4131.48,2.516
561.0,4140.54,2.516
562.0,4149.07,2.516
563.0,4157.37,2.516
564.0,4165.93,2.517
565.0,4174.37,2.517
566.0,4182.49,2.517
567.0,4190.76,2.517
568.0,4199.1,2.517
569.0,4207.5,2.518
570.0,4215.98,2.518
571.0,4224.65,2.518
572.0,4233.0,2.518
573.0,4241.56,2.518
574.0,4250.23,2.517
575.0,4259.05,2.517
576.0,4267.62,2.517
577.0,4276.18,2.518
578.0,4284.66,2.518
579.0,4292.76,2.518
580.0,4300.67,2.518
581.0,4308.52,2.519
582.0,4315.95,2.518
583.0,4323.69,2.519
584.0,4331.38,2.519
585.0,4338.94,2.519
586.0,4346.38,2.519
587.0,4353.83,2.519
588.0,4361.35,2.519
589.0,4368.53,2.518
590.0,4376.13,2.518
591.0,4383.6,2.518
592.0,4391.22,2.518
593.0,4398.31,2.518
594.0,4405.47,2.518
595.0,4413.3,2.518
596.0,4420.97,2.518
597.0,4427.72,2.518
598.0,4435.02,2.519
599.0,4442.3,2.519
600.0,4449.84,2.52
601.0,4456.76,2.52
602.0,4464.02,2.521
603.0,4471.58,2.521
604.0,4479.39,2.521
605.0,4487.0,2.521
606.0,4494.62,2.522
607.0,4502.49,2.522
608.0,4510.38,2.522
609.0,4517.66,2.522
610.0,4525.23,2.522
611.0,4533.09,2.522
612.0,4540.87,2.521
613.0,4548.83,2.521
614.0,4556.62,2.521
615.0,4564.29,2.521
616.0,4571.73,2.521
617.0,4579.26,2.521
618.0,4586.88,2.521
619.0,4594.47,2.521
620.0,4602.48,2.521
621.0,4610.3,2.521
622.0,4617.75,2.521
623.0,4625.99,2.521
624.0,4634.62,2.521
625.0,4642.67,2.52
626.0,4650.67,2.52
627.0,4658.43,2.52
628.0,4666.73,2.52
629.0,4674.55,2.52
630.0,4682.41,2.52
631.0,4690.61,2.52
632.0,4698.82,2.52
633.0,4706.66,2.52
634.0,4714.44,2.52
635.0,4722.14,2.52
636.0,4730.45,2.521
637.0,4738.0,2.521
638.0,4746.68,2.521
639.0,4755.39,2.521
640.0,4763.98,2.522
641.0,4772.12,2.522
642.0,4780.13,2.522
643.0,4788.34,2.522
644.0,4796.48,2.522
645.0,4804.5,2.522
646.0,4812.34,2.522
647.0,4820.65,2.522
648.0,4828.56,2.522
649.0,4836.39,2.522
650.0,4844.44,2.522
651.0,4852.43,2.522
652.0,4860.18,2.522
653.0,4868.1,2.523
654.0,4875.45,2.523
655.0,4883.11,2.523
656.0,4890.32,2.523
657.0,4897.21,2.524
658.0,4904.37,2.524
659.0,4911.04,2.524
660.0,4917.69,2.523
661.0,4924.65,2.523
662.0,4931.77,2.523
663.0,4938.67,2.523
664.0,4945.62,2.523
665.0,4952.93,2.523
666.0,4960.4,2.523
667.0,4967.54,2.523
668.0,4975.24,2.523
669.0,4982.76,2.523
670.0,4989.94,2.524
671.0,4997.43,2.524
672.0,5004.92,2.524
673.0,5012.25,2.524
674.0,5019.65,2.524
675.0,5027.49,2.523
676.0,5034.97,2.523
677.0,5042.57,2.523
678.0,5050.22,2.523
679.0,5057.69,2.523
680.0,5065.52,2.523
681.0,5073.25,2.523
682.0,5081.16,2.523
683.0,5088.53,2.523
684.0,5096.08,2.523
685.0,5103.73,2.523
686.0,5111.4,2.523
687.0,5118.78,2.523
688.0,5126.38,2.523
689.0,5133.43,2.523
690.0,5141.0,2.523
691.0,5148.22,2.523
692.0,5155.26,2.523
693.0,5162.48,2.523
694.0,5169.7,2.523
695.0,5176.67,2.523
696.0,5183.36,2.524
697.0,5190.11,2.524
698.0,5196.68,2.525
699.0,5202.93,2.526
700.0,5209.43,2.527
701.0,5215.32,2.527
702.0,5221.33,2.528
703.0,5226.91,2.529
704.0,5233.0,2.53
705.0,5238.7,2.531
706.0,5244.05,2.531
707.0,5249.39,2.532
708.0,5254.45,2.533
709.0,5259.51,2.535
710.0,5264.28,2.535
711.0,5269.24,2.536
712.0,5273.8,2.537
713.0,5278.61,2.538
714.0,5283.46,2.539
715.0,5288.04,2.54
716.0,5292.89,2.54
717.0,5297.67,2.541
718.0,5302.23,2.541
719.0,5306.96,2.541
720.0,5311.18,2.542
721.0,5315.63,2.542
722.0,5319.91,2.543
723.0,5324.26,2.544
724.0,5328.83,2.545
725.0,5333.08,2.545
