target_distance_m,left_index,right_index,ratio,latitude,longitude,altitude_m,speed_mps
1096.6552763819097,180,181,0.3108921696789684,31.10142119394003,121.02201073448857,1101.5627804895603,2.528310892169679
1142.3492462311558,186,187,0.060282544799485444,31.101394470965463,121.02153303041666,1045.8787446667295,2.53
1188.043216080402,192,193,0.2026073379107342,31.10136961785976,121.02105508612631,969.6615956307995,2.533
1233.7371859296484,198,199,0.43039349288818546,31.101335416736227,121.02057848743081,924.5795928796524,2.5364303934928882
1279.4311557788947,204,205,0.9906334393053962,31.101300044140167,121.02010101900184,932.9208764913009,2.54
1325.1251256281407,211,212,0.14464995132732014,31.101271457781813,121.0196232538942,1000.7408192796443,2.541
1370.819095477387,217,218,0.043528114387404296,31.101255405348414,121.0191446233537,1109.0875148811388,2.54
1416.5130653266333,222,223,0.6313112456313453,31.101232481791847,121.01866697188994,1138.3353429755355,2.5373686887543685
1462.2070351758794,228,229,0.22942968064236358,31.101190178023877,121.01818996559939,1132.6433610019617,2.5337705703193576
1507.9010050251256,233,234,0.5777652970736038,31.10116556099606,121.0177137639433,1268.9419426544487,2.531
1553.594974874372,238,239,0.6814081606239523,31.101152454401394,121.01723350221012,1290.826534689123,2.528
1599.288944723618,243,244,0.7851830911157192,31.101128450292123,121.01675591202232,1210.2015438847516,2.527
1644.9829145728645,249,250,0.356790248471596,31.101085108599015,121.01627988367274,1075.1735744212235,2.5266432097515286
1690.6768844221106,255,256,0.05651803649554345,31.101032144074487,121.01580769380128,1111.653961918259,2.5250565180364957
1736.3708542713566,260,261,0.780825815826091,31.101004560001122,121.01532852996252,1114.378111037113,2.526
1782.0648241206031,266,267,0.8355081191079639,31.100974627024815,121.01484890065976,628.2269629137334,2.527
1827.7587939698492,276,277,0.10700703517588409,31.101055870931578,121.01441534578215,673.400541909548,2.527
1873.4527638190957,283,284,0.16815883213538266,31.10101637439175,121.0139405101842,820.9470612556456,2.526
1919.1467336683418,289,290,0.8824675192923005,31.100913065642995,121.01347897536911,904.1557139668737,2.525117532480708
1964.8407035175878,296,297,0.09222401935969275,31.10087768240337,121.01300051439301,1038.116454508414,2.5250922240193594
