timestamp,elapsed_seconds,distance_m,latitude,longitude,altitude_m,speed_mps,source_elapsed_seconds,source_left_index,source_right_index,distance_ratio
2026-03-28T00:43:22+00:00,669.0,6730.875,31.080636545084417,120.97837741021067,691.5,3.7874999999999996,1003.5,991,992,0.5
2026-03-28T00:43:23+00:00,670.0,6739.28,31.080560814589262,120.97840603441,752.2,3.7874999999999996,1005.0,993,994,0.0
2026-03-28T00:43:24+00:00,671.0,6746.875,31.08050134498626,120.97844027448446,524.5,3.7874999999999996,1006.5,994,995,0.5
2026-03-28T00:43:25+00:00,672.0,6754.57,31.08044296503067,120.97847803495824,606.5999999999999,3.7874999999999996,1008.0,996,997,0.0
2026-03-28T00:43:26+00:00,673.0,6765.375,31.080354158766568,120.97852514125407,641.1,3.7867499999999996,1009.5,997,998,0.5
2026-03-28T00:43:27+00:00,674.0,6777.54,31.08025923371315,120.97858113236725,763.4000000000001,3.786,1011.0,999,1000,0.0
2026-03-28T00:43:28+00:00,675.0,6787.835,31.080182287842035,120.97863368690014,749.4,3.786,1012.5,1000,1001,0.5
2026-03-28T00:43:29+00:00,676.0,6796.96,31.08011364005506,120.97868557088077,739.2,3.786,1014.0,1002,1003,0.0
2026-03-28T00:43:30+00:00,677.0,6805.8099999999995,31.080043148249388,120.9787321742624,699.900000000005,3.7874999999999996,1015.5,1003,1004,0.49999999999992184
2026-03-28T00:43:31+00:00,678.0,6815.05,31.079969806596637,120.97877659834921,655.2,3.7889999999999997,1017.0,1005,1006,0.0
2026-03-28T00:43:32+00:00,679.0,6823.96,31.079898099415004,120.97882483620197,707.4,3.7889999999999997,1018.5,1006,1007,0.5
2026-03-28T00:43:33+00:00,680.0,6833.67,31.07982002198696,120.97887072712183,716.8,3.7889999999999997,1020.0,1008,1009,0.0
2026-03-28T00:43:34+00:00,681.0,6843.29,31.079743076115847,120.97891603130847,682.1999999999999,3.7905,1021.5,1009,1010,0.5
2026-03-28T00:43:35+00:00,682.0,6852.86,31.07966646552086,120.9789570607245,664.4000000000001,3.7905,1023.0,1011,1012,0.0
2026-03-28T00:43:36+00:00,683.0,6861.54,31.079596476629376,120.97899712622166,663.5,3.792,1024.5,1012,1013,0.5
2026-03-28T00:43:37+00:00,684.0,6870.09,31.07952925376594,120.9790413826704,662.5999999999999,3.792,1026.0,1014,1015,0.0
